,Jaye Shimek,Leandro Marse,Annie Lapham,Harmony Mcmurtry,Zofia Roll,Tasia Dube,Lorrine Paek,Veronique Blakemore,Randall Feather,Michale Tuch,Jarvis Pratts,Vance Ates,Donte Berkeley,Tora Echevarria,Hassan Toner,Kyle Ryals,Vonk Billips,Julieta Knapp,Stephine Gatlin,Bebe Riva,Marthe Hale,Paulene Calcagni,Milagros Salmeron,Anisha Mathes,Layne Woodside,Lisette Tolleson,Andreas Jost,Jeannie Liang,Hwa Defalco,Aurea Durrance,Sal Papa,Narcisa Core,Bridgette Marko,Leatrice Heer,Remedios Fincham,Lavonna Sim,Lester Preiss,Augusta Beltrami,Grover Gibbons,Velvet Matley,Johnetta Hatcher,Petrina Maggart,Chung Zertuche,Adriene Wilde,Byron Caroll,Mellisa Blanco,Hettie Beller,Corrine Gallop,Angela Compos,Kiera Loar
2013-11-21,5,3,0,3,5,5,1,6,7,3,4,8,8,2,4,6,3,5,7,6,0,5,1,5,1,7,7,5,2,4,3,8,5,7,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-22,7,2,6,3,0,0,1,4,3,6,3,6,8,1,0,5,4,8,6,6,0,7,5,0,5,5,5,6,5,0,7,6,7,6,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-25,8,2,3,4,7,3,1,3,5,6,2,9,10,0,4,4,5,4,5,5,6,6,2,3,4,4,6,2,7,0,7,8,6,3,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-26,7,5,6,6,6,3,2,7,5,2,2,5,9,1,4,8,2,5,10,2,2,3,2,3,5,7,7,3,5,4,5,6,5,2,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-27,7,3,6,5,6,3,0,5,2,4,1,7,7,2,0,8,2,8,9,2,3,4,6,4,4,8,5,6,6,2,6,5,3,5,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-28,5,3,0,7,6,3,0,3,4,2,1,9,9,2,0,7,3,7,9,4,0,6,2,4,4,8,5,4,7,1,4,6,5,3,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-29,7,3,3,7,6,4,4,6,5,5,4,7,9,0,1,3,5,4,9,4,0,7,4,0,2,4,5,2,2,4,5,4,7,3,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-02,5,4,3,5,6,4,0,4,4,4,2,9,9,2,3,4,5,5,8,6,3,4,3,4,2,5,5,6,4,3,7,5,2,6,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-03,7,5,6,3,3,4,0,4,2,4,1,8,10,0,0,5,2,8,5,6,3,5,4,1,2,5,3,5,4,4,7,7,3,5,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-04,8,4,5,6,7,1,3,7,2,5,1,6,7,1,2,7,6,6,6,6,6,4,4,0,4,6,6,4,5,2,7,9,7,6,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-05,4,4,0,8,7,3,0,3,5,5,4,7,6,0,1,6,3,7,6,6,0,6,4,4,2,6,7,3,3,3,8,7,4,4,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-06,3,2,0,8,4,5,0,5,6,3,4,6,7,1,1,7,7,5,10,4,0,5,3,3,4,6,7,5,7,4,4,9,4,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-09,5,4,0,5,5,2,3,4,6,2,3,5,11,4,4,5,2,9,8,2,5,3,6,0,2,7,5,4,3,2,5,7,5,5,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-10,6,6,0,6,2,3,0,6,3,3,2,6,7,0,4,4,3,6,7,7,7,3,2,4,1,8,5,1,3,1,7,5,6,5,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-11,5,4,5,4,4,1,1,3,4,1,1,6,8,2,0,7,2,5,8,5,3,3,6,1,3,8,6,2,6,5,3,8,2,5,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-12,5,5,0,7,5,2,2,2,4,6,4,8,9,2,0,4,4,8,9,2,0,6,5,4,4,5,7,5,6,1,3,7,4,4,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-13,4,3,4,6,5,1,1,5,6,3,4,7,7,1,2,8,6,5,8,4,0,3,3,4,5,6,6,5,2,4,7,7,4,7,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-16,7,6,6,6,7,1,1,6,3,4,1,7,9,2,2,7,0,0,10,6,5,6,3,4,3,6,7,4,2,3,4,8,4,7,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-17,8,2,3,4,3,3,0,4,4,3,1,6,9,2,2,6,0,0,7,6,6,3,5,3,3,8,4,3,4,4,7,8,4,5,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-18,8,3,2,7,5,5,0,4,4,1,2,10,7,0,1,4,0,0,9,7,2,6,2,1,2,6,6,2,6,4,6,6,3,6,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-19,6,4,0,6,4,3,2,3,5,4,2,8,8,2,3,7,0,0,9,7,0,4,6,3,4,9,6,5,4,3,6,6,6,6,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-20,4,1,4,4,7,5,3,7,4,6,4,6,6,0,0,5,0,0,10,2,0,6,4,4,6,8,3,5,7,2,8,5,6,5,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-23,6,5,7,5,4,2,1,5,3,2,4,9,7,3,2,6,0,0,7,4,5,4,4,5,4,6,5,5,5,0,5,5,4,6,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-24,5,4,5,6,4,4,1,3,2,4,1,8,10,4,2,5,0,0,7,3,6,3,5,1,2,6,6,4,3,1,6,8,3,6,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-25,6,3,2,5,2,2,3,3,5,1,3,9,11,3,0,7,0,0,10,5,3,4,3,0,1,9,7,2,2,4,6,9,6,3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-26,3,4,0,4,4,3,1,4,4,6,1,6,7,3,1,4,0,0,9,6,0,6,4,3,1,5,7,4,4,3,6,5,4,5,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-27,4,4,6,5,5,1,3,5,6,1,3,7,10,1,3,6,0,0,8,3,0,3,2,3,4,4,6,4,5,1,6,5,2,4,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-30,7,4,5,5,5,2,0,6,3,6,3,5,10,2,0,4,0,0,6,6,6,4,3,4,3,9,5,2,6,0,3,8,4,5,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-31,4,5,5,8,2,4,4,4,6,3,4,5,8,4,2,6,0,0,5,3,4,6,4,3,3,5,7,3,4,0,6,4,2,4,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,0,4,5,3,5,0,3,4,2,0,0,5,7,2,2,7,0,0,8,6,0,6,0,3,2,0,4,4,0,5,6,9,3,4,3,3,5,9,6,0,0,0,0,0,0,0,0,0,0,0
2014-01-02,0,0,0,7,0,0,0,3,0,0,1,7,9,0,2,4,0,0,9,2,0,4,0,2,3,0,6,4,0,0,5,8,6,5,2,4,6,8,7,0,0,0,0,0,0,0,0,0,0,0
2014-01-03,3,0,3,0,0,0,0,2,0,0,0,9,7,0,0,6,0,0,9,0,0,4,0,5,0,0,8,4,0,0,5,4,5,5,4,5,7,7,3,0,0,0,0,0,0,0,0,0,0,0
2014-01-06,6,0,6,3,0,0,3,0,0,0,2,7,10,2,3,4,7,8,9,0,0,7,0,1,6,0,7,0,0,0,4,0,0,6,0,2,6,8,6,0,0,0,0,0,0,0,0,0,0,0
2014-01-07,6,0,7,5,0,0,3,0,0,0,0,8,9,0,3,4,7,5,5,0,0,5,0,1,5,7,4,5,0,0,5,0,0,3,0,5,5,8,4,0,0,0,0,0,0,0,0,0,0,0
2014-01-08,6,0,6,8,4,0,0,0,0,0,0,7,7,0,0,5,5,8,6,0,0,6,0,3,5,5,8,4,0,0,7,0,2,0,0,4,6,9,6,0,0,0,0,0,0,0,0,0,0,0
2014-01-09,8,0,0,3,5,0,4,0,0,0,0,6,8,2,3,5,5,8,0,0,0,6,0,1,5,7,8,4,0,0,4,0,6,0,0,6,7,6,3,0,0,0,0,0,0,0,0,0,0,0
2014-01-10,3,0,7,5,3,0,0,0,0,3,0,7,8,4,4,8,4,7,0,0,0,3,0,3,4,7,6,6,0,0,6,0,2,0,0,6,6,5,3,0,0,0,0,0,0,0,0,0,0,0
2014-01-13,4,3,0,4,4,0,0,0,0,6,0,0,0,3,0,8,6,8,8,0,0,4,5,4,4,8,0,4,2,0,6,0,3,0,0,0,4,7,4,0,0,0,0,0,0,0,0,0,0,0
2014-01-14,7,3,0,6,3,3,0,0,2,2,0,0,0,2,0,4,4,9,8,3,0,7,2,0,3,5,0,5,4,4,4,0,2,0,0,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0
2014-01-15,4,2,0,7,5,3,0,5,7,1,0,0,0,0,0,6,7,7,6,4,0,4,5,2,2,4,0,5,6,0,5,0,6,0,1,0,3,8,6,0,0,0,0,0,0,0,0,0,0,0
2014-01-16,5,3,0,5,5,2,0,6,5,5,0,0,0,1,0,0,5,5,8,2,0,2,4,0,5,6,0,5,7,3,8,0,2,0,2,0,5,8,4,0,0,0,0,0,0,0,0,0,0,0
2014-01-17,4,2,0,6,6,3,0,2,4,4,0,0,0,0,0,0,3,6,9,3,0,4,2,0,2,5,0,3,6,3,7,0,6,0,2,0,5,7,5,0,0,0,0,0,0,0,0,0,0,0
2014-01-20,4,4,4,7,7,0,2,3,3,3,2,0,9,0,3,0,3,8,5,5,0,3,1,3,2,7,0,3,7,3,8,9,7,0,3,5,6,6,6,0,0,0,0,0,0,0,0,0,0,0
2014-01-21,8,2,6,8,3,0,0,4,2,4,2,0,9,2,0,0,6,4,5,3,0,4,2,3,6,8,6,5,5,5,8,9,4,4,4,3,4,5,8,0,0,0,0,0,0,0,0,0,0,0
2014-01-22,3,3,3,7,3,1,3,6,4,3,4,5,10,1,0,0,2,5,6,3,0,2,3,2,5,6,7,5,3,2,5,7,7,5,2,3,5,7,7,0,0,0,0,0,0,0,0,0,0,0
2014-01-23,5,5,0,5,2,4,1,3,7,3,4,6,10,0,1,0,6,4,8,4,0,6,2,2,3,9,4,2,4,2,5,7,3,4,5,1,3,6,4,0,0,0,0,0,0,0,0,0,0,0
2014-01-24,6,2,6,7,6,5,2,6,2,6,2,9,11,4,0,8,6,6,5,3,0,2,3,0,5,7,4,5,6,3,6,9,4,4,3,3,4,10,7,0,0,0,0,0,0,0,0,0,0,0
2014-01-27,7,2,4,5,4,5,3,3,6,1,0,6,9,1,4,7,5,8,10,5,0,7,4,0,3,6,6,4,2,2,6,7,3,6,1,4,2,8,3,0,0,0,0,0,0,0,0,0,0,0
2014-01-28,6,3,5,5,6,0,1,4,7,2,4,8,11,0,3,3,3,5,8,6,0,7,3,4,4,8,3,4,3,3,4,4,5,4,0,5,2,8,8,0,0,0,0,0,0,0,0,0,0,0
2014-01-29,6,4,3,5,3,4,1,2,3,4,4,7,6,0,0,7,6,4,6,3,0,5,4,5,3,5,5,5,3,0,4,7,2,5,2,4,2,6,4,0,0,0,0,0,0,0,0,0,0,0
2014-01-30,5,6,0,7,3,3,2,4,4,6,2,6,8,0,2,7,5,7,9,5,0,7,2,5,5,9,6,4,4,2,0,6,3,4,1,5,5,6,8,0,0,0,0,0,0,0,0,0,0,0
2014-01-31,4,4,3,5,5,1,4,5,6,4,1,9,9,0,2,5,5,7,8,4,0,6,6,2,1,4,4,4,2,0,0,6,5,2,1,5,0,6,4,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,8,1,4,4,4,1,0,3,2,1,1,8,10,1,0,5,4,9,9,5,0,4,4,5,6,5,6,5,4,1,0,4,4,5,2,4,2,10,8,0,0,0,0,0,0,0,0,0,0,0
2014-02-04,6,1,4,7,3,3,2,5,2,5,3,9,6,0,2,7,6,8,6,5,0,2,5,1,6,5,7,4,3,4,5,7,3,5,1,1,2,7,7,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,5,5,6,7,6,5,1,6,7,6,2,9,11,1,0,5,4,8,10,4,0,3,5,3,4,7,8,5,6,0,7,5,5,5,1,2,4,6,3,0,0,0,0,0,0,0,0,0,0,0
2014-02-06,7,2,0,6,6,3,4,4,6,2,2,8,9,1,2,3,3,8,9,4,0,4,1,0,3,4,7,2,7,2,7,4,5,3,1,5,2,6,7,0,0,0,0,0,0,0,0,0,0,0
2014-02-07,6,2,4,7,3,1,2,3,6,2,5,6,8,1,0,6,3,8,6,2,0,5,3,1,2,7,7,5,5,1,7,7,3,4,4,6,5,7,6,0,0,0,0,0,0,0,0,0,0,0
2014-02-10,6,4,6,5,4,4,1,7,5,1,5,7,10,0,3,7,3,8,7,6,0,5,6,4,3,6,6,2,3,4,6,6,4,4,1,4,3,8,6,0,0,0,0,0,0,0,0,0,0,0
2014-02-11,7,2,5,5,4,3,2,6,3,5,2,9,8,2,0,5,5,9,6,7,0,5,3,4,3,9,7,2,5,1,7,5,5,5,3,3,7,5,6,0,0,0,0,0,0,0,0,0,0,0
2014-02-12,4,0,6,6,6,1,3,4,4,5,1,9,6,3,0,5,6,5,7,7,0,4,3,3,6,0,6,4,6,5,8,9,4,3,1,5,4,7,5,0,0,0,0,0,0,0,0,0,0,0
2014-02-13,5,0,0,8,2,1,4,5,4,5,0,9,8,3,1,3,5,4,7,5,0,3,2,2,6,0,6,2,6,2,6,7,5,5,3,2,5,6,5,0,0,0,0,0,0,0,0,0,0,0
2014-02-14,8,0,4,5,3,3,0,2,3,5,2,7,10,1,1,5,7,5,7,5,0,6,6,1,6,0,4,3,7,2,5,4,4,7,3,5,4,7,7,0,0,0,0,0,0,0,0,0,0,0
2014-02-17,5,2,3,6,4,1,2,3,5,6,2,6,10,2,0,7,4,5,8,3,0,5,5,0,3,0,4,3,2,3,3,4,6,4,4,4,5,10,3,0,0,0,0,0,0,0,0,0,0,0
2014-02-18,5,5,7,6,4,3,0,7,6,0,1,8,9,2,3,5,3,5,5,7,0,7,6,4,3,0,3,4,0,4,7,0,6,4,2,2,2,6,7,0,0,0,0,0,0,0,0,0,0,0
2014-02-19,4,2,3,5,4,0,1,3,4,0,2,7,10,3,0,6,5,8,5,4,0,5,5,0,4,0,4,3,0,1,4,0,3,7,4,2,2,8,4,0,0,0,0,0,0,0,0,0,0,0
2014-02-20,0,2,0,0,3,4,2,4,3,0,3,7,9,0,0,7,4,7,10,3,0,6,2,0,5,0,6,5,0,2,6,0,3,4,0,2,4,9,7,0,0,0,0,0,0,0,0,0,0,0
2014-02-21,0,5,6,0,6,3,0,5,2,0,1,6,6,4,2,6,5,8,9,7,0,6,2,0,3,4,4,3,0,2,4,0,4,2,1,2,4,9,3,0,0,0,0,0,0,0,0,0,0,0
2014-02-24,0,5,5,0,4,0,0,5,3,0,1,7,7,2,0,6,5,6,7,5,0,0,4,0,1,8,0,2,7,0,5,0,6,4,2,4,4,6,6,0,0,0,0,0,0,0,0,0,0,0
2014-02-25,0,4,5,0,3,5,1,6,4,0,0,7,10,0,1,5,6,7,0,4,0,0,5,0,3,7,0,4,5,1,7,0,6,4,1,4,5,8,7,0,0,0,0,0,0,0,0,0,0,0
2014-02-26,0,4,4,0,0,3,4,7,6,0,0,8,7,3,1,8,6,5,0,7,0,0,4,0,1,5,0,5,4,2,5,0,6,5,1,6,4,6,8,0,0,0,0,0,0,0,0,0,0,0
2014-02-27,0,3,0,0,0,5,1,5,6,6,4,9,10,1,0,4,5,7,0,3,0,0,4,0,6,6,0,3,4,4,7,0,3,6,2,4,4,7,4,0,0,0,0,0,0,0,0,0,0,0
2014-02-28,0,5,4,0,0,2,4,6,7,2,2,6,8,3,4,3,3,8,0,3,0,0,5,0,3,6,0,4,3,3,7,0,3,6,2,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0
2014-03-03,5,1,4,0,0,5,3,7,6,2,4,0,7,2,0,6,3,5,9,3,0,0,0,1,5,8,0,4,6,3,3,8,6,3,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0
2014-03-04,6,5,4,3,0,1,4,5,5,2,2,0,0,4,0,3,7,6,9,6,0,0,0,3,4,5,0,5,5,1,7,6,6,5,2,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0
2014-03-05,7,5,4,6,0,3,3,7,3,6,1,0,0,3,1,8,6,7,8,3,0,2,0,1,6,4,0,2,3,4,4,8,3,7,4,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
2014-03-06,4,3,0,4,2,4,3,6,6,3,4,5,0,4,4,8,5,9,10,3,0,2,0,3,5,6,4,6,5,4,5,4,3,2,4,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0
2014-03-07,5,2,5,7,6,2,0,5,2,3,3,8,0,3,0,4,7,4,6,3,0,3,0,4,1,5,6,3,6,1,4,5,6,7,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0
2014-03-10,7,5,0,3,2,3,4,4,3,6,4,9,0,4,4,7,6,8,5,4,0,4,0,2,5,7,4,4,6,3,4,5,0,5,1,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0
2014-03-11,6,2,0,7,6,4,1,7,3,5,1,10,6,1,2,4,5,6,9,5,0,5,5,3,1,8,4,3,7,2,4,8,0,3,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0
2014-03-12,4,5,0,4,3,5,2,3,6,5,4,10,7,4,2,6,2,9,9,5,0,6,1,1,2,5,7,2,7,2,5,5,0,3,1,6,5,0,0,3,0,0,0,0,0,0,0,0,0,0
2014-03-13,4,2,0,5,6,2,0,4,3,5,1,9,8,0,4,8,7,6,5,5,0,6,5,0,6,6,6,5,2,2,6,8,0,7,0,2,6,0,0,5,0,0,0,0,0,0,0,0,0,0
2014-03-14,6,6,0,7,3,4,2,2,3,2,4,8,10,0,0,6,4,7,5,5,0,4,2,2,3,5,4,4,5,1,4,8,0,6,4,4,6,0,0,4,0,0,0,0,0,0,0,0,0,0
2014-03-17,3,2,6,3,4,4,1,4,7,3,1,5,9,0,3,6,4,6,10,7,0,7,2,0,2,7,7,4,6,2,7,5,0,6,4,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-03-18,3,6,5,6,7,3,0,3,3,2,0,6,10,0,1,7,2,5,9,5,0,3,2,4,3,5,4,4,6,1,8,7,0,4,1,2,6,0,0,4,0,0,0,0,0,0,0,0,0,0
2014-03-19,6,6,2,5,6,3,2,4,7,1,2,6,10,0,0,8,3,7,8,3,0,6,4,3,1,8,5,1,4,3,6,6,4,6,1,4,5,7,7,4,0,0,0,0,0,0,0,0,0,0
2014-03-20,7,5,0,6,5,3,4,5,2,4,1,8,8,0,1,4,6,7,8,5,0,5,5,0,5,7,5,4,6,5,7,8,7,5,4,5,5,6,6,2,0,0,0,0,0,0,0,0,0,0
2014-03-21,5,4,3,6,2,2,0,5,4,6,2,9,8,0,1,0,7,5,7,4,0,3,2,5,4,5,4,5,6,0,4,8,4,2,0,4,3,9,5,6,0,0,0,0,0,0,0,0,0,0
2014-03-24,7,4,6,3,5,0,2,0,7,4,3,9,8,0,0,0,4,6,10,0,0,2,2,4,3,6,8,4,5,4,0,7,6,6,1,4,6,6,4,1,0,0,0,0,0,0,0,0,0,0
2014-03-25,7,3,4,3,3,3,0,0,5,4,3,9,6,0,0,0,6,4,6,0,0,5,3,4,3,5,6,6,5,2,0,7,3,3,3,2,4,6,6,5,0,0,0,0,0,0,0,0,0,0
2014-03-26,3,6,7,3,3,0,0,0,4,1,5,5,8,0,0,0,5,9,8,0,0,3,4,3,6,5,7,5,5,0,0,7,2,4,4,6,7,7,5,4,0,0,0,0,0,0,0,0,0,0
2014-03-27,8,5,0,4,4,4,2,0,5,3,1,8,11,0,0,0,2,6,5,0,0,6,5,4,1,7,5,3,5,4,0,5,4,6,3,4,5,10,7,6,0,0,0,0,0,0,0,0,0,0
2014-03-28,7,3,6,5,6,3,2,0,6,3,3,9,7,0,0,0,6,8,8,3,0,6,3,4,0,6,6,0,2,1,7,8,6,4,0,3,3,6,7,4,0,0,0,0,0,0,0,0,0,0
2014-03-31,7,2,4,5,5,3,3,6,0,2,4,8,8,0,0,6,3,6,5,5,0,5,2,0,0,6,4,0,6,0,6,7,6,5,0,3,6,6,5,4,0,0,0,0,0,0,0,0,0,0
2014-04-01,4,4,3,4,6,4,1,5,6,2,4,7,9,3,0,5,3,6,6,4,0,6,4,3,0,0,4,0,2,2,6,9,4,5,0,3,3,8,6,2,0,0,0,0,0,0,0,0,0,0
2014-04-02,5,2,6,6,5,1,1,6,3,5,0,10,7,1,1,4,2,9,8,6,0,3,3,4,0,0,7,0,4,2,5,8,6,6,0,3,5,7,6,2,0,0,0,0,0,0,0,0,0,0
2014-04-03,6,5,0,6,7,1,0,4,3,4,5,8,9,0,0,4,4,5,9,4,0,4,6,4,0,0,8,0,3,0,8,8,6,2,4,1,7,8,8,4,0,0,0,0,0,0,0,0,0,0
2014-04-04,6,3,2,5,6,0,1,5,6,1,0,9,7,4,0,6,4,9,0,5,0,6,2,1,0,0,5,0,0,0,6,7,3,7,2,5,4,7,4,4,0,0,0,0,0,0,0,0,0,0
2014-04-07,7,2,4,7,3,0,2,5,4,4,0,6,7,1,1,5,4,6,0,2,0,5,4,4,0,0,8,0,0,0,3,6,6,6,2,3,3,6,3,3,0,0,0,0,0,0,0,0,0,0
2014-04-08,6,4,3,3,6,1,0,7,3,5,0,0,9,2,0,7,2,5,0,7,0,6,3,1,0,0,3,0,0,2,6,8,4,5,3,5,6,8,4,3,0,0,0,0,0,0,0,0,0,0
2014-04-09,0,5,6,5,5,2,2,3,4,4,4,9,10,0,0,4,7,8,0,6,0,5,1,3,0,9,5,4,0,0,4,7,3,5,2,6,3,7,6,3,0,0,0,0,0,0,0,0,0,0
2014-04-10,0,6,0,7,7,2,0,4,6,3,2,6,7,1,4,5,5,5,0,5,0,4,3,2,6,9,4,3,0,5,6,6,6,4,3,5,0,10,3,1,0,0,0,0,0,0,0,0,0,0
2014-04-11,0,1,5,4,5,4,3,3,5,5,1,7,7,3,0,5,6,6,0,6,0,3,4,4,4,6,4,4,0,2,4,8,2,4,1,3,0,8,4,6,0,0,0,0,0,0,0,0,0,0
2014-04-14,0,6,5,3,0,5,0,6,4,0,4,5,10,4,2,3,5,6,6,4,0,6,1,2,1,5,5,5,4,4,5,9,2,4,3,2,0,7,5,2,0,0,0,0,0,0,0,0,0,0
2014-04-15,0,6,7,4,0,1,1,2,6,0,1,7,6,2,3,5,6,6,9,4,0,4,4,1,5,9,4,1,3,0,4,5,5,0,5,2,0,6,7,4,0,0,0,0,0,0,0,0,0,0
2014-04-16,0,4,0,6,0,4,2,6,6,0,3,0,7,3,0,5,4,5,9,4,0,7,1,0,1,7,7,2,7,0,5,8,6,0,2,1,0,7,4,5,0,0,0,0,0,0,0,0,0,0
2014-04-17,0,1,0,6,0,2,0,4,3,0,1,0,7,3,1,8,3,6,8,7,0,5,3,3,4,4,5,5,7,4,7,6,4,0,0,2,0,6,3,4,0,0,0,0,0,0,0,0,0,0
2014-04-18,0,3,0,6,0,0,4,6,5,0,3,8,0,0,4,4,2,6,8,2,0,6,2,0,3,6,4,2,3,2,7,4,3,0,3,2,0,6,4,1,0,0,0,0,0,0,0,0,0,0
2014-04-21,6,5,0,6,0,4,1,2,3,0,5,7,0,4,3,6,7,9,7,6,0,3,0,4,2,6,6,3,2,2,4,5,4,5,3,4,4,5,4,3,0,0,0,0,0,0,0,0,0,0
2014-04-22,5,3,0,5,0,2,2,6,6,0,2,6,0,1,3,4,5,8,10,5,0,3,0,0,5,4,5,5,3,1,7,8,5,5,4,3,3,8,8,4,0,0,0,0,0,0,0,0,0,0
2014-04-23,4,2,7,3,0,3,3,4,5,0,3,10,6,1,1,7,3,4,10,2,0,6,0,0,5,8,6,1,2,0,4,7,2,6,3,6,4,10,4,4,0,0,0,0,0,0,0,0,0,0
2014-04-24,3,4,0,4,0,2,1,4,2,0,0,6,9,0,1,5,4,5,9,5,0,7,1,3,6,8,3,4,4,1,5,5,6,5,3,4,4,7,5,5,0,0,0,0,0,0,0,0,0,0
2014-04-25,7,2,6,5,7,2,1,4,5,0,2,10,10,3,2,3,6,7,9,4,0,7,4,2,3,8,5,3,5,3,4,0,3,2,1,4,5,5,6,4,0,0,0,0,0,0,0,0,0,0
2014-04-28,6,0,2,6,6,4,1,6,5,5,3,5,9,2,2,8,3,4,10,3,0,3,3,2,5,7,8,3,5,0,5,0,5,5,2,4,6,9,4,6,0,0,0,0,0,0,0,0,0,0
2014-04-29,4,0,3,4,2,1,0,6,6,4,1,10,8,2,3,6,3,8,8,5,0,6,5,3,4,8,6,2,6,5,7,0,6,4,3,1,2,8,4,2,0,0,0,0,0,0,0,0,0,0
2014-04-30,8,0,6,7,3,4,3,7,5,4,3,8,11,3,0,7,4,6,5,4,0,5,5,3,3,6,4,3,4,0,7,9,5,2,2,2,3,7,4,5,0,0,0,0,0,0,0,0,0,0
2014-05-01,6,0,0,7,4,5,3,4,2,5,4,7,8,0,3,4,3,9,8,2,0,2,3,4,3,7,3,4,6,3,4,6,4,4,4,6,6,7,6,5,0,0,0,0,0,0,0,0,0,0
2014-05-02,7,0,4,4,6,0,1,5,3,5,3,9,9,2,1,8,4,6,9,3,0,4,6,5,5,7,4,2,4,3,7,4,3,7,4,5,6,7,8,2,0,0,0,0,0,0,0,0,0,0
2014-05-05,6,0,4,6,5,0,2,6,3,5,0,10,11,0,3,0,3,6,9,0,0,2,3,1,3,8,7,5,5,4,5,8,4,3,1,4,7,7,6,5,0,0,0,0,0,0,0,0,0,0
2014-05-06,7,0,3,7,4,2,3,4,6,2,0,6,8,4,1,0,5,6,7,0,0,7,5,3,5,8,7,3,5,3,4,5,4,5,1,5,5,9,3,5,0,0,0,0,0,0,0,0,0,0
2014-05-07,8,6,3,8,6,0,1,3,6,5,1,8,9,3,2,0,3,9,8,0,0,3,1,2,6,7,3,1,3,4,8,8,3,3,2,4,5,6,8,2,0,0,0,0,0,0,0,0,0,0
2014-05-08,3,6,0,3,4,4,1,3,6,4,4,10,8,2,0,0,4,7,10,0,0,6,3,4,6,9,4,6,7,3,6,5,5,2,4,4,3,9,3,3,0,0,0,0,0,0,0,0,0,0
2014-05-09,6,3,4,3,4,1,2,3,2,6,5,5,11,0,2,0,5,5,8,0,0,5,4,1,5,6,4,2,4,2,6,5,5,6,3,0,7,9,6,4,0,0,0,0,0,0,0,0,0,0
2014-05-12,3,2,5,7,5,3,0,2,7,4,1,9,6,2,1,0,6,9,8,0,0,4,4,0,6,0,6,3,7,1,5,7,3,6,3,0,7,7,7,3,0,0,0,0,0,0,0,0,0,0
2014-05-13,4,2,7,5,3,1,3,4,3,3,0,8,7,1,0,0,6,6,6,7,0,4,5,1,3,0,0,5,5,3,6,7,4,2,5,5,3,9,7,4,0,0,0,0,0,0,0,0,0,0
2014-05-14,5,3,7,6,5,2,3,5,2,6,0,8,10,2,0,0,6,4,8,3,0,3,5,1,3,6,7,3,5,5,4,7,3,6,4,3,4,6,7,5,0,0,0,0,0,0,0,0,0,0
2014-05-15,6,5,0,6,4,2,0,3,3,2,0,5,8,1,1,4,6,8,8,6,0,3,2,4,3,6,4,4,2,4,7,7,3,2,0,2,3,8,3,5,0,0,0,0,0,0,0,0,0,0
